ID;Name;URL;Strength;Served;Difficulty;Bourbon / American Whiskey;Tequila;Gin;Liqueurs;Rye Whiskey;Vodka;Brandy / Cognac;Cachaça;Mezcal;Scotch;Rum;Irish Whiskey;Vermouth / Aperitif Wine;Canadian Whisky;Absinthe;Beer;Whiskey;Non-alcoholic;Pisco;Japanese Whisky;Salty/Savory;Sweet;Creamy;Spicy;Sour;Fruity/Citrus-forward;Spirit-forward;Bitter;Bubbly;Modern Classics;Classics;Martinis;Margaritas;Hot;Tiki / Tropical;Punches;Frozen / Blended;Shots;Non-Alcoholic;Stirred;Shaken;Blended;Cooked/Heated
0;Green Margarita;http://liquor.com/recipes/green-margarita/;0.5;0.33;0.5;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
1;Green Giant;http://liquor.com/recipes/green-giant/;0.5;0.33;0.5;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
2;Grasshopper;http://liquor.com/recipes/grasshopper/;0.5;0.5;0.5;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0.07;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.04;0;0
3;Holy Guac-a-Mary;http://liquor.com/recipes/holy-guac-a-mary/;0.5;0.33;0.5;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.07;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.04;0;0;0
4;New York Sour;http://liquor.com/recipes/new-york-sour-2/;0.5;0.33;0.5;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.07;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.04;0;0
5;Gin & Juice;http://liquor.com/recipes/gin-juice/;0.5;0.33;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.04;0;0;0
6;Lemon Drop;http://liquor.com/recipes/lemon-drop/;0.5;0.5;0.5;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
7;Bananarac;http://liquor.com/recipes/bananarac/;0.5;0.5;0.5;0;0;0;0;0.1;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0.07;0;0;0.1;0;0;0;0;0;0;0;0;0;0.04;0;0;0
8;Dirty Oaxacan Martini;http://liquor.com/recipes/dirty-oaxacan-martini/;0.5;0.5;0.5;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0;0;0.07;0;0;0;0;0.1;0;0;0;0;0;0;0;0.04;0;0;0
9;Trato Hecho;http://liquor.com/recipes/trato-hecho/;0.5;0.5;1;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0.07;0.07;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
10;Blackberry Mint Julep Margarita;http://liquor.com/recipes/blackberry-mint-julep-margarita/;0.5;0.33;0.5;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0.07;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0.04;0;0
11;Girls Next Door;http://liquor.com/recipes/girls-next-door/;0.5;0.5;1;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.04;0;0
